Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
MRPL18,ENST00000367034.4,mitochondrial ribosomal protein L18 ,127,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0109,0.0755,0.3755,-0.76,-0.76,N/A,"NULL
"
RASSF5,ENST00000367117.3,Ras association (RalGDS/AF-6) domain family member 5 ,27,1,1,0,0,2,1,1,0,0,hsa-miR-532-5p,0.0223,0.1558,0.8244,-0.71,-0.82,N/A,"NULL
"
GBP1,ENST00000370473.4,"guanylate binding protein 1, interferon-inducible ",40,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0202,0.1415,0.7608,-0.7,-0.7,N/A,"NULL
"
SMIM10,ENST00000330288.4,small integral membrane protein 10 ,124,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0083,0.0599,0.3676,-0.68,-0.68,N/A,"NULL
"
DENND6A,ENST00000311128.5,DENN/MADD domain containing 6A ,139,2,0,2,0,2,0,2,0,1,hsa-miR-532-5p,0.0206,0.1476,0.8937,-0.67,-0.68,N/A,"NULL
"
CRIPT,ENST00000238892.3,cysteine-rich PDZ-binding protein ,1213,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0067,0.0482,0.2986,-0.64,-0.64,N/A,"NULL
"
KRAS,ENST00000256078.4,Kirsten rat sarcoma viral oncogene homolog ,40,1,1,0,0,0,0,0,0,3,hsa-miR-532-5p,0.0191,0.1325,0.6916,-0.63,-0.71,N/A,"NULL
"
NDP,ENST00000378062.5,Norrie disease (pseudoglioma) ,5,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0134,0.0937,0.5062,-0.6,-0.6,N/A,2007
ZKSCAN1,ENST00000324306.6,zinc finger with KRAB and SCAN domains 1 ,1314,1,1,0,0,2,0,2,0,1,hsa-miR-532-5p,0.0315,0.2196,1.1833,-0.54,-0.55,N/A,"NULL
"
ZNF250,ENST00000292579.7,zinc finger protein 250 ,67,1,1,0,0,0,0,0,0,2,hsa-miR-532-5p,0.0168,0.1123,0.4937,-0.54,-0.54,N/A,"NULL
"
